semanticResourceURN;bcpg:lvType;bcpg:lvCode;bcpg:lvValue;bcpg:lvValue_fr;Definition;resourceSubTypeCode;Domain;ExternalLink;changeLog;Status;Version
urn:gs1:gdd:cl:PriceComparisonContentTypeCode:PER_DOSE;PriceComparisonContentTypeCode;PER_DOSE;;;Specified using pieces as unit of measure.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceComparisonContentTypeCode:PER_KILOGRAM;PriceComparisonContentTypeCode;PER_KILOGRAM;;;Specified using gram or kilogram as unitOfMeasure (allows calculation of price per kilogram).;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceComparisonContentTypeCode:PER_LITRE;PriceComparisonContentTypeCode;PER_LITRE;;;Specified using mililitre or litre as unitOfMeasure (allows calculation of price per litre).;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceComparisonContentTypeCode:PER_LOAD;PriceComparisonContentTypeCode;PER_LOAD;;;Specified using pieces as unit of measure (allows calculation of price per load - used for washing up powder).;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceComparisonContentTypeCode:PER_METRE;PriceComparisonContentTypeCode;PER_METRE;;;Specified using metre as unitOfMeasure (allows caclulation of price per metre).;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceComparisonContentTypeCode:PER_PIECE;PriceComparisonContentTypeCode;PER_PIECE;;;Specified using pieces as unitOfMeasure (allows calculation of price per piece).;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceComparisonContentTypeCode:PER_PINT;PriceComparisonContentTypeCode;PER_PINT;;;Specified using fluid ounce as unitOfMeasure (allows calculation of price per pint);CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceComparisonContentTypeCode:PER_POUND;PriceComparisonContentTypeCode;PER_POUND;;;Specified using Ounce as unitOfMeasure (allows calculation of price per pound);CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceComparisonContentTypeCode:PER_SQUARE_METRE;PriceComparisonContentTypeCode;PER_SQUARE_METRE;;;The Price Comparison Content specified may be used to calculate the price per square metre.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceComparisonContentTypeCode:PER_WASH;PriceComparisonContentTypeCode;PER_WASH;;;Specified using pieces as unitOfMeasure (allows calculation of price per wash - used for washing detergent).;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceComparisonContentTypeCode:PER_YARD;PriceComparisonContentTypeCode;PER_YARD;;;Specified using inches as unitOfMeasure (allows calculation of price per yard);CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceComparisonContentTypeCode:READY_TO_DRINK;PriceComparisonContentTypeCode;READY_TO_DRINK;;;Specified using millilitre or litre or fluid ounces as unitOfMeasure (allows calculation of price per litre/pint diluted drink).;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceComparisonContentTypeCode:READY_TO_EAT;PriceComparisonContentTypeCode;READY_TO_EAT;;;Specified using grams, kilograms, or ounces as unitOfMeasure (allows calculation of price per kilogram/pound prepared food).;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceDocumentTypeCode;PriceDocumentTypeCode;;;;Code list developed and managed by GS1. ;CODELIST;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceDocumentTypeCode:INITIAL_LOAD;PriceDocumentTypeCode;INITIAL_LOAD;Initial Load;Charge initiale;The sending of pricing information for the first time.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceDocumentTypeCode:RELOAD;PriceDocumentTypeCode;RELOAD;Reload;Recharger;Sending all current and known CURRENT pricing. This is used to start over by replacing previously synchronised information.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceDocumentTypeCode:RESEND;PriceDocumentTypeCode;RESEND;Resend;Renvoyer;Indicates that the message is used to recover a lost or missing message.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceDocumentTypeCode:RESTART;PriceDocumentTypeCode;RESTART;Restart;Redémarrage;The status used when a data recipient had rejected an item's pricing but wishes to resume price synchronisation.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceSynchronisationSpecialScenarioCode;PriceSynchronisationSpecialScenarioCode;;;;Code list developed and managed by GS1. ;CODELIST;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceSynchronisationSpecialScenarioCode:1;PriceSynchronisationSpecialScenarioCode;1;Resynchronisation of All Price Types ;Resynchronisation de tous les types de prix;Resynchronisation of all Price Types for pricing done at the lowest level consumer unit. Uses NO_ACTION code to differentiate price types that have changed from those that have not.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceTypeCode;PriceTypeCode;;;;Code list developed and managed by GS1. ;CODELIST;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceTypeCode:ALLOWANCE;PriceTypeCode;ALLOWANCE;Allowance;Allocation;Credit reflected on an invoice.  This can occur either at the item or the invoice level. There are many types of allowances. Some are contractually based, e.g. backhaul, others are not formalized contracts. Some allowances are offered to the industry such as payment terms while others such as promotional allowances are trading partner specific.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceTypeCode:BRACKET_TIER_PRICE;PriceTypeCode;BRACKET_TIER_PRICE;Bracket Tier Price;Prix du niveau de support;The price associated with an item for the purchase of a specific number of trade items, or some other logistical measure (weight, cube, truck). These are often offered in a series (e.g. 100 to 299 case lots, 300 to 599, full truckload, half truckload; each offering a different discount).;CODEVALUE;GDSN;;NEW;CURRENT
urn:gs1:gdd:cl:PriceTypeCode:CHARGE;PriceTypeCode;CHARGE;Charge;Charge;Debit reflected on an invoice.  This can occur either at the item or at the invoice level. There are many types of charges. Some are contractually based, others are not formalized contracts.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceTypeCode:CONTRACT_PRICE;PriceTypeCode;CONTRACT_PRICE;Contract Price;Le prix du contrat;The price associated with an item that has been negotiated or agreed to between trading partners exclusive of taxes but inclusive of allowances, charges and customs duty where applicable. This price would typically be associated with a formal contract between trading partners.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceTypeCode:DECLARED_CUSTOMS_VALUE;PriceTypeCode;DECLARED_CUSTOMS_VALUE;Declared Customs Value;Valeur en douane déclarée;This is the value of the item as declared by the supplier. This value is used by customs to calculate the customs duty that is payable.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceTypeCode:INTRODUCTORY_PRICE;PriceTypeCode;INTRODUCTORY_PRICE;Introductory Price;Prix de lancement;Not Available;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceTypeCode:LIST_PRICE;PriceTypeCode;LIST_PRICE;List Price;Liste des prix;External price associated with a product absent of all allowances or charges. This is normally the printed price contained on supplier’s price list or catalogue. (May or may not be customer specific).;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceTypeCode:OTHER;PriceTypeCode;OTHER;Other;Autre;An unspecified type.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceTypeCode:PROMOTIONAL_PRICE;PriceTypeCode;PROMOTIONAL_PRICE;Promotional Price;Prix promotionnel;A price that is available only as part of a promotion.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceTypeCode:RETAIL_PRICE;PriceTypeCode;RETAIL_PRICE;Retail Price;Prix en détail;The retail (to consumer) price as suggested by the manufacturer. May or may not appear on the package.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceTypeCode:TRANSACTION_PRICE;PriceTypeCode;TRANSACTION_PRICE;Transaction Price;Prix de transaction;The line item/GTIN price shown on the invoice document, including allowances and/or charges applying to the trading partner relationship (which can be zero), but excluding VAT and any other taxes, fees, and/or duties.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceTypeCode:TRANSACTION_PRICE_WITH_SPECIAL_TAXES;PriceTypeCode;TRANSACTION_PRICE_WITH_SPECIAL_TAXES;Transaction Price With Special Taxes;Prix de transaction avec taxes spéciales;The line item / GTIN price shown on the invoice document, including allowances and/ or charges applying to the trading partner relationship (which can be zero),  excluding VAT, but including any other taxes, fees, and/or duties.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceTypeCode:TRANSACTION_PRICE_WITH_SPECIAL_TAXES_AND_EARLY_PAYMENT_DISCOUNT;PriceTypeCode;TRANSACTION_PRICE_WITH_SPECIAL_TAXES_AND_EARLY_PAYMENT_DISCOUNT;Transaction price with special taxes and early payment discount;Prix de transaction avec taxes spéciales et escompte pour paiement anticipé;A specific financial allowance, comprising special taxes, whose goal is to identify a special price type and price value that the data recipient would pay to the data provider IF it pays the invoice in a certain delay (such delay is previously negotiated between the dataProvider and the dataRecipient and does not have to be communicated with the tariff);CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceTypeCode:TRANSACTION_PRICE_WITH_VAT_AND_SPECIAL_TAXES;PriceTypeCode;TRANSACTION_PRICE_WITH_VAT_AND_SPECIAL_TAXES;Transaction Price With VAT and Special Taxes;Prix de transaction avec TVA et taxes spéciales;The line item / GTIN price shown on the invoice document, including allowances and/ or charges applying to the trading partner relationship (which can be zero), including both VAT and any other taxes, fees, and/or duties.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceTypeCode:TRANSACTION_PRICE_WITH_VAT_AND_SPECIAL_TAXES_AND_EARLY_PAYMENT_DISCOUNT;PriceTypeCode;TRANSACTION_PRICE_WITH_VAT_AND_SPECIAL_TAXES_AND_EARLY_PAYMENT_DISCOUNT;Transaction price with VAT and special taxes and early payment discount;Prix de transaction avec TVA et taxes spéciales et escompte pour paiement anticipé;A specific financial allowance, comprising VAT and special taxes, whose goal is to identify a special price type and price value that the data recipient would pay to the data provider IF it pays the invoice in a certain delay (such delay is previously negotiated between the dataProvider and the dataRecipient and does not have to be communicated with the tariff);CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceTypeCode:UNDERBOND_LIST_PRICE;PriceTypeCode;UNDERBOND_LIST_PRICE;Underbond List Price;Prix catalogue de sous-bond;The price associated with an item exclusive of all allowances, charges, taxes and customs duty. (May or may not be customer specific). This applies to imported items that upon arrival into the country are stored in a Customs bonded warehouse. The goods are then sold without the customs duty paid. The purchaser must pay the customs duty.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceTypeCode:UNDERBOND_TRANSACTION_PRICE;PriceTypeCode;UNDERBOND_TRANSACTION_PRICE;Underbond Transaction Price;Prix de transaction sous-obligataire;The price associated with an item exclusive of all taxes and customs duty but inclusive of all allowances and charges. This applies to imported items that upon arrival into the country are stored in a Customs bonded warehouse. The goods are then sold without the customs duty paid. The purchaser must pay the customs duty.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceValueQualifierCode;PriceValueQualifierCode;;;;Code list developed and managed by GS1. ;CODELIST;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceValueQualifierCode:MONETARY_AMOUNT;PriceValueQualifierCode;MONETARY_AMOUNT;Monetary Amount;Montant monétaire;An amount of or relating to money.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PriceValueQualifierCode:PERCENT;PriceValueQualifierCode;PERCENT;Percent;Pour cent;One part in a hundred.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode;PrimaryAddedFlavouringCode;;;;Code list developed and managed by GS1. ;CODELIST;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:ACAI_BERRY;PrimaryAddedFlavouringCode;ACAI_BERRY;Acai Berry;Acai Berry;Acai Berry;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:ALMOND;PrimaryAddedFlavouringCode;ALMOND;Almond;Amande;Almond;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:AMARETTO;PrimaryAddedFlavouringCode;AMARETTO;Amaretto;Amaretto;Amaretto;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:ANISEED;PrimaryAddedFlavouringCode;ANISEED;Aniseed;Anis;Aniseed;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:APPLE;PrimaryAddedFlavouringCode;APPLE;Apple;Pomme;Apple;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:APPLE_PIE;PrimaryAddedFlavouringCode;APPLE_PIE;Apple Pie;Tarte aux pommes;Apple Pie;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:APRICOT;PrimaryAddedFlavouringCode;APRICOT;Apricot;Abricot;Apricot;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:ARTICHOKE;PrimaryAddedFlavouringCode;ARTICHOKE;Artichoke;Artichaut;Artichoke;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:BANANA;PrimaryAddedFlavouringCode;BANANA;Banana;Banane;Banana;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:BASIL;PrimaryAddedFlavouringCode;BASIL;Basil;Basilic;Basil;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:BISON_GRASS;PrimaryAddedFlavouringCode;BISON_GRASS;Bison grass;Herbe à bisons;Bison grass;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:BITTERS;PrimaryAddedFlavouringCode;BITTERS;Bitters;Bitter;Bitters;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:BLACK_CHERRY;PrimaryAddedFlavouringCode;BLACK_CHERRY;Black Cherry;Cerise noire;Black Cherry;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:BLACK_CURRANT;PrimaryAddedFlavouringCode;BLACK_CURRANT;Black Currant;Cassis;Black Currant;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:BLACKBERRY;PrimaryAddedFlavouringCode;BLACKBERRY;Blackberry;Mûre;Blackberry;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:BLACKTHORN;PrimaryAddedFlavouringCode;BLACKTHORN;Blackthorn;Prunellier;Blackthorn;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:BLOOD_ORANGE;PrimaryAddedFlavouringCode;BLOOD_ORANGE;Blood Orange;Orange sanguine;Blood Orange;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:BLUEBERRY;PrimaryAddedFlavouringCode;BLUEBERRY;Blueberry;Myrtille;Blueberry;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:BOTANICAL;PrimaryAddedFlavouringCode;BOTANICAL;Botanical;Botanique;Botanical;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:BUTTERSCOTCH;PrimaryAddedFlavouringCode;BUTTERSCOTCH;Butterscotch;Caramel au beurre;Butterscotch;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:CAKE;PrimaryAddedFlavouringCode;CAKE;Cake;Gâteau;Cake;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:CARAWAY_SEED;PrimaryAddedFlavouringCode;CARAWAY_SEED;Caraway Seed;Graine de carvi;Caraway Seed;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:CARDAMOM;PrimaryAddedFlavouringCode;CARDAMOM;Cardamom;Cardamome;Cardamom;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:CHAMOMILE;PrimaryAddedFlavouringCode;CHAMOMILE;Chamomile;Camomille;Chamomile;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:CHERRY;PrimaryAddedFlavouringCode;CHERRY;Cherry;Cerise;Cherry;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:CHILLI;PrimaryAddedFlavouringCode;CHILLI;Chilli;Chili;"Chilli
";CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:CHOCOLATE;PrimaryAddedFlavouringCode;CHOCOLATE;Chocolate;Chocolat;Chocolate;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:CINNAMON;PrimaryAddedFlavouringCode;CINNAMON;Cinnamon;Cannelle;Cinnamon;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:CITRUS_FRUIT;PrimaryAddedFlavouringCode;CITRUS_FRUIT;Citrus Fruit;Agrumes;Citrus Fruit;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:COCONUT;PrimaryAddedFlavouringCode;COCONUT;Coconut;Noix de coco;Coconut;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:COFFEE;PrimaryAddedFlavouringCode;COFFEE;Coffee;Café;Coffee;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:CRANBERRY;PrimaryAddedFlavouringCode;CRANBERRY;Cranberry;Canneberge;Cranberry;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:CUCUMBER;PrimaryAddedFlavouringCode;CUCUMBER;Cucumber;Concombre;Cucumber;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:EGG;PrimaryAddedFlavouringCode;EGG;Egg;Œuf;Egg;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:ELDERBERRY;PrimaryAddedFlavouringCode;ELDERBERRY;Elderberry;Sureau;Elderberry;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:ELDERFLOWER;PrimaryAddedFlavouringCode;ELDERFLOWER;Elderflower;Fleur de sureau;Elderflower;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:ENGLISH_TOFFEE;PrimaryAddedFlavouringCode;ENGLISH_TOFFEE;English Toffee;Caramel anglais;English Toffee;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:ESPRESSO;PrimaryAddedFlavouringCode;ESPRESSO;Espresso;Expresso;Espresso;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:FIG;PrimaryAddedFlavouringCode;FIG;Fig;figue;Fig;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:FRENCH_VANILLA;PrimaryAddedFlavouringCode;FRENCH_VANILLA;French Vanilla;Vanille française;French Vanilla;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:FRUIT;PrimaryAddedFlavouringCode;FRUIT;Fruit;Fruit;The product has an added ingredient that causes the flavour of fruit.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:GENTIAN_ROOT;PrimaryAddedFlavouringCode;GENTIAN_ROOT;Gentian Root;Racine de gentiane;Gentian Root;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:GINGER;PrimaryAddedFlavouringCode;GINGER;Ginger;Gingembre;Ginger;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:GOOSEBERRY;PrimaryAddedFlavouringCode;GOOSEBERRY;Gooseberry;Groseille;Gooseberry;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:GRAPE;PrimaryAddedFlavouringCode;GRAPE;Grape;Raisin;Grape;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:GRAPEFRUIT;PrimaryAddedFlavouringCode;GRAPEFRUIT;Grapefruit;Pamplemousse;Grapefruit;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:GREEN_CHILLI;PrimaryAddedFlavouringCode;GREEN_CHILLI;Green Chilli;Piment vert;"Green Chilli
";CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:GREEN_PEPPER;PrimaryAddedFlavouringCode;GREEN_PEPPER;Green Pepper;Poivre vert;Green Pepper;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:GREEN_TEA;PrimaryAddedFlavouringCode;GREEN_TEA;Green Tea;Thé vert;Green Tea;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:GUARANA;PrimaryAddedFlavouringCode;GUARANA;Guarana;Guarana;Guarana;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:HAZELNUT;PrimaryAddedFlavouringCode;HAZELNUT;Hazelnut;Noisette;Hazelnut;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:HERB;PrimaryAddedFlavouringCode;HERB;Herb;Herbe;Herb;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:HONEY;PrimaryAddedFlavouringCode;HONEY;Honey;Chéri;Honey;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:HOT_PEPPER;PrimaryAddedFlavouringCode;HOT_PEPPER;Hot Pepper;Piment;Hot Pepper;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:LEMON;PrimaryAddedFlavouringCode;LEMON;Lemon;Citron;Lemon;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:LEMON_BALM;PrimaryAddedFlavouringCode;LEMON_BALM;Lemon Balm;Mélisse;Lemon Balm;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:LIME;PrimaryAddedFlavouringCode;LIME;Lime;Citron vert;Lime;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:LINGONBERRY;PrimaryAddedFlavouringCode;LINGONBERRY;Lingonberry;Airelle rouge;Lingonberry;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:LIQUORICE;PrimaryAddedFlavouringCode;LIQUORICE;Liquorice;Réglisse;Liquorice;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:LYCHEE;PrimaryAddedFlavouringCode;LYCHEE;Lychee;Litchi;Lychee;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:MANDARIN;PrimaryAddedFlavouringCode;MANDARIN;Mandarin;mandarin;Mandarin;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:MANGO;PrimaryAddedFlavouringCode;MANGO;Mango;mangue;Mango;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:MARMALADE;PrimaryAddedFlavouringCode;MARMALADE;Marmalade;Confiture;Marmalade;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:MELON;PrimaryAddedFlavouringCode;MELON;Melon;Melon;Melon;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:MINT;PrimaryAddedFlavouringCode;MINT;Mint;menthe;Mint;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:MULBERRY;PrimaryAddedFlavouringCode;MULBERRY;Mulberry;Mûre;Mulberry;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:NONE;PrimaryAddedFlavouringCode;NONE;None;Aucun;None;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:NUT;PrimaryAddedFlavouringCode;NUT;Nut;Noix;The product has an added ingredient that causes the flavour of nut.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:ORANGE;PrimaryAddedFlavouringCode;ORANGE;Orange;Orange;Orange;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:OTHER;PrimaryAddedFlavouringCode;OTHER;Other;Autre;The value needed is not listed or is not defined within this list’s individual code values and definitions. Please send a work request into GS1 or your solution provider requesting the code you are searching for.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:PASSION_FRUIT_MARACUYA_GRANADILLA;PrimaryAddedFlavouringCode;PASSION_FRUIT_MARACUYA_GRANADILLA;Passion Fruit/Maracuya/Granadilla;Fruit de la Passion/Maracuya/Grenadille;Passion Fruit/Maracuya/Granadilla;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:PEACH;PrimaryAddedFlavouringCode;PEACH;Peach;Pêche;Peach;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:PEAR;PrimaryAddedFlavouringCode;PEAR;Pear;Poire;Pear;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:PrimaryAddedFlavouringCode:PEPPER;PrimaryAddedFlavouringCode;PEPPER;Pepper;Poivre;Pepper;CODEVALUE;GDSN;;NEW;CURRENT;1
